,id,club_id,book_id,rate,number_of_ratings
0,6921,1,0195153448,2.0,1
1,6922,1,0393045218,9.0,1
2,6923,1,0399135782,6.0,1
3,6924,1,0887841740,0.0,1
4,6925,1,0609804618,6.0,1
5,6926,1,1841721522,10.0,1
6,6927,1,1879384493,3.0,1
7,6928,1,0971880107,9.0,1
8,6929,1,0345402871,7.0,1
9,6930,1,0375759778,6.0,1
10,6931,1,0375406328,5.0,1
11,6932,1,038078243X,7.0,1
12,6933,1,0553582909,1.0,1
13,6934,1,042518630X,10.0,1
14,6935,1,0961769947,0.0,1
15,6936,1,0671623249,3.0,1
16,6937,1,0804106304,5.0,1
17,6938,1,1853262404,2.0,1
18,6939,1,0451625889,0.0,1
19,6940,1,0394895894,9.0,1
20,6941,1,0060930365,6.0,1
21,6942,1,0375509038,3.0,1
22,6943,1,0312252617,6.0,1
23,6944,1,0316748641,5.0,1
24,6945,1,0316973742,0.0,1
25,6946,1,0771074670,5.0,1
26,6947,1,080652121X,7.0,1
27,6948,1,1575663937,10.0,1
28,6949,1,0345417623,9.0,1
29,6950,1,3442410665,8.0,1
30,6951,1,0553582747,9.0,1
31,6952,1,0440223571,7.0,1
32,6953,1,0679865691,10.0,1
33,6954,1,0345260317,0.0,1
34,6955,1,0312970242,8.0,1
35,6956,1,0441783589,10.0,1
36,6957,1,1569871213,6.0,1
37,6958,1,0375410538,3.0,1
38,6959,1,0340767936,1.0,1
39,6960,1,0425176428,10.0,1
40,6961,1,074322678X,7.0,1
41,6962,1,0440234743,10.0,1
42,6963,1,0452264464,3.0,1
43,6964,1,0439095026,4.0,1
44,6965,1,0425163091,2.0,1
45,6966,1,0061099686,9.0,1
46,6967,1,0671888587,4.0,1
47,6968,1,0812523873,1.0,1
48,6969,1,0245542957,4.0,1
49,6970,1,0679810307,4.0,1
50,6971,1,0140067477,4.0,1
51,6972,1,0060177586,9.0,1
52,6973,1,8445071777,8.0,1
53,6974,1,0312261594,3.0,1
54,6975,1,0374157065,1.0,1
55,6976,1,067176537X,5.0,1
56,6977,1,0440225701,1.0,1
57,6978,1,0156047624,10.0,1
58,6979,1,0964778319,10.0,1
59,6980,1,0060938412,1.0,1
60,6981,1,0345465083,3.0,1
61,6982,1,0966986105,9.0,1
62,6983,1,0553062042,4.0,1
63,6984,1,0316769487,10.0,1
64,6985,1,0671867156,2.0,1
65,6986,1,0002005018,5.0,1
66,6987,1,0684823802,8.0,1
67,6988,1,0446310786,8.0,1
68,6989,1,0842342702,0.0,1
69,6990,1,0071416331,0.0,1
70,6991,1,0689821166,9.0,1
71,6992,1,0060914068,4.0,1
72,6993,1,2070423204,3.0,1
73,6994,1,0394743741,5.0,1
74,6995,1,1853260053,7.0,1
75,6996,1,1558531025,0.0,1
76,6997,1,0060973129,9.0,1
77,6998,1,1558746218,8.0,1
78,6999,1,3404921038,4.0,1
79,7000,1,0425182908,3.0,1
80,7001,1,0380715899,9.0,1
81,7002,1,0553280333,1.0,1
82,7003,1,0743403843,10.0,1
83,7004,1,0679429220,3.0,1
84,7005,1,1881320189,1.0,1
85,7006,1,0060168013,10.0,1
86,7007,1,0679425608,10.0,1
87,7008,2,0195153448,9.0,1
88,7009,2,0002005018,8.0,1
89,7010,2,0060973129,10.0,1
90,7011,2,0393045218,6.0,1
91,7012,2,0399135782,10.0,1
92,7013,2,1575663937,7.0,1
93,7014,2,1879384493,5.0,1
94,7015,2,0061076031,8.0,1
95,7016,2,0971880107,2.0,1
96,7017,2,0345417623,6.0,1
97,7018,2,0684823802,10.0,1
